,UNKNOWN,DRY,WET,OTHER,SAND_MUD_DIRT
17838184,0,1,0,0,0
17838205,0,1,0,0,0
17838211,0,1,0,0,0
17838216,0,1,0,0,0
17838217,0,1,0,0,0
17838220,0,1,0,0,0
17838356,0,1,0,0,0
17838362,0,1,0,0,0
17838481,0,1,0,0,0
17838484,0,1,0,0,0
17838487,0,1,0,0,0
17838499,0,1,0,0,0
17838514,0,1,0,0,0
17838572,0,1,0,0,0
17838576,0,1,0,0,0
17838577,0,1,0,0,0
17839138,0,1,0,0,0
17840649,0,1,0,0,0
17843161,0,0,1,0,0
17844302,0,0,1,0,0
17844303,0,1,0,0,0
17844826,0,1,0,0,0
17845740,0,1,0,0,0
17845836,0,0,1,0,0
17846590,0,1,0,0,0
17846591,0,1,0,0,0
17850115,0,1,0,0,0
17850160,0,1,0,0,0
17850488,0,1,0,0,0
17850497,0,1,0,0,0
17850498,0,1,0,0,0
17850522,0,1,0,0,0
17850782,0,1,0,0,0
17850789,0,1,0,0,0
17850790,0,1,0,0,0
17850814,0,1,0,0,0
17851678,0,1,0,0,0
17851696,0,1,0,0,0
17851946,0,1,0,0,0
17852651,0,1,0,0,0
17852742,0,1,0,0,0
17854896,0,1,0,0,0
17854900,0,1,0,0,0
17856873,0,1,0,0,0
17856877,0,1,0,0,0
17856937,0,1,0,0,0
17856950,0,1,0,0,0
17856957,0,1,0,0,0
17859943,0,1,0,0,0
17859953,0,1,0,0,0
17860022,0,1,0,0,0
17860098,0,1,0,0,0
17860107,0,1,0,0,0
17860109,0,1,0,0,0
17860111,0,1,0,0,0
17860165,0,1,0,0,0
17860166,0,1,0,0,0
17860182,0,1,0,0,0
17860185,0,1,0,0,0
17860186,0,1,0,0,0
17860189,0,1,0,0,0
17860191,0,1,0,0,0
17860263,0,1,0,0,0
17860692,0,1,0,0,0
17862284,0,1,0,0,0
17862285,0,1,0,0,0
17864012,0,1,0,0,0
17864736,0,1,0,0,0
17866001,0,1,0,0,0
17866002,0,1,0,0,0
17866013,0,1,0,0,0
17867193,0,1,0,0,0
17867267,0,1,0,0,0
17867454,0,1,0,0,0
17868734,0,1,0,0,0
17869499,0,1,0,0,0
17870556,0,1,0,0,0
17870563,0,1,0,0,0
17870564,0,1,0,0,0
17870586,0,1,0,0,0
17870596,0,1,0,0,0
17870782,0,1,0,0,0
17870960,0,1,0,0,0
17870976,0,1,0,0,0
17871594,0,1,0,0,0
17871869,0,0,1,0,0
17873091,0,1,0,0,0
17875138,0,0,1,0,0
17875141,0,0,1,0,0
17875150,0,1,0,0,0
17875152,0,0,1,0,0
17875228,0,1,0,0,0
17876589,0,1,0,0,0
17876590,0,1,0,0,0
17876592,0,1,0,0,0
17876664,0,1,0,0,0
17878871,0,1,0,0,0
17878874,0,1,0,0,0
17878973,0,1,0,0,0
17881816,0,1,0,0,0
17881820,0,0,1,0,0
17881822,0,0,1,0,0
17881825,0,1,0,0,0
17881926,0,1,0,0,0
17881937,0,1,0,0,0
17881941,0,1,0,0,0
17881942,0,1,0,0,0
17882040,0,1,0,0,0
17882042,0,1,0,0,0
17882121,0,1,0,0,0
17882154,0,1,0,0,0
17882170,0,1,0,0,0
17882547,0,1,0,0,0
17883905,0,1,0,0,0
17884020,0,1,0,0,0
17884795,0,1,0,0,0
17884796,0,1,0,0,0
17885928,0,0,1,0,0
17885984,0,1,0,0,0
17885999,0,1,0,0,0
17886000,0,1,0,0,0
17886008,0,1,0,0,0
17886497,0,1,0,0,0
17887736,0,1,0,0,0
17887737,0,1,0,0,0
17887785,0,1,0,0,0
17887792,0,1,0,0,0
17888540,0,1,0,0,0
17889540,0,1,0,0,0
17889601,0,1,0,0,0
17889606,0,1,0,0,0
17893241,0,1,0,0,0
17893418,0,1,0,0,0
17893458,0,1,0,0,0
17893462,0,1,0,0,0
17893598,0,1,0,0,0
17893599,0,1,0,0,0
17893600,0,1,0,0,0
17893601,0,1,0,0,0
17893630,0,1,0,0,0
17893796,0,1,0,0,0
17895523,0,1,0,0,0
17898124,0,1,0,0,0
17898128,0,1,0,0,0
17898212,0,1,0,0,0
17900926,0,1,0,0,0
17901593,0,1,0,0,0
17905053,0,1,0,0,0
17905058,0,1,0,0,0
17905070,0,1,0,0,0
17905073,0,1,0,0,0
17905075,0,1,0,0,0
17905220,0,1,0,0,0
17905232,0,1,0,0,0
17905314,0,1,0,0,0
17905319,0,1,0,0,0
17905320,0,1,0,0,0
17906634,0,1,0,0,0
17906732,0,1,0,0,0
17906735,0,1,0,0,0
17906746,0,1,0,0,0
17906751,0,1,0,0,0
17906817,0,1,0,0,0
17908726,0,1,0,0,0
17910506,0,1,0,0,0
17910518,0,1,0,0,0
17912220,0,0,1,0,0
17912224,0,1,0,0,0
17912225,0,1,0,0,0
17912304,0,1,0,0,0
17915967,0,1,0,0,0
17915968,0,1,0,0,0
17916165,0,1,0,0,0
17916323,0,1,0,0,0
17916327,0,1,0,0,0
17916328,0,1,0,0,0
17916331,0,1,0,0,0
17916607,0,1,0,0,0
17916620,0,1,0,0,0
17916622,0,1,0,0,0
17916632,0,1,0,0,0
17916635,0,1,0,0,0
17916636,0,1,0,0,0
17916720,0,1,0,0,0
17916723,0,1,0,0,0
17916726,0,1,0,0,0
17916836,0,1,0,0,0
17918188,0,1,0,0,0
17918191,0,1,0,0,0
17918192,0,1,0,0,0
17918275,0,1,0,0,0
17918277,0,1,0,0,0
17920336,0,1,0,0,0
17920338,0,1,0,0,0
17920349,0,1,0,0,0
17922005,0,1,0,0,0
17922066,0,1,0,0,0
17922573,0,1,0,0,0
17928447,0,1,0,0,0
17928451,0,1,0,0,0
17928452,0,1,0,0,0
17928512,0,1,0,0,0
17928513,0,1,0,0,0
17928515,0,1,0,0,0
17928526,0,1,0,0,0
17928591,0,1,0,0,0
17928675,0,1,0,0,0
17928680,0,1,0,0,0
17928683,0,1,0,0,0
17928688,0,0,1,0,0
17930424,0,1,0,0,0
17930425,0,1,0,0,0
17930427,0,1,0,0,0
17930444,0,0,1,0,0
17932385,0,1,0,0,0
17932411,0,1,0,0,0
17932421,0,0,1,0,0
17932423,0,0,1,0,0
17933867,0,1,0,0,0
17934879,0,1,0,0,0
17935015,0,1,0,0,0
17935017,0,1,0,0,0
17935137,0,1,0,0,0
17935146,0,1,0,0,0
17936568,0,1,0,0,0
17936635,0,1,0,0,0
17936652,0,1,0,0,0
17936653,0,1,0,0,0
17936654,0,1,0,0,0
17937052,0,1,0,0,0
17937065,0,1,0,0,0
17938640,0,1,0,0,0
17940590,0,1,0,0,0
17940600,0,0,1,0,0
17940601,0,1,0,0,0
17941609,0,1,0,0,0
17941611,0,1,0,0,0
17941618,0,1,0,0,0
17941620,0,1,0,0,0
17941622,0,1,0,0,0
17941975,0,1,0,0,0
17942115,0,1,0,0,0
17942119,0,1,0,0,0
17942172,0,1,0,0,0
17942174,0,1,0,0,0
17942177,0,1,0,0,0
17942178,0,1,0,0,0
17942180,0,1,0,0,0
17942787,0,1,0,0,0
17942800,0,1,0,0,0
17946469,0,1,0,0,0
17946476,0,1,0,0,0
17946479,0,1,0,0,0
17947440,0,0,1,0,0
17947453,0,1,0,0,0
17948380,0,1,0,0,0
17948944,0,1,0,0,0
17951716,0,1,0,0,0
17952460,0,1,0,0,0
17952461,0,1,0,0,0
17953581,0,1,0,0,0
17953587,0,1,0,0,0
17953901,0,1,0,0,0
17953903,0,1,0,0,0
17953913,0,1,0,0,0
17953914,0,1,0,0,0
17953915,0,1,0,0,0
17954038,0,1,0,0,0
17954051,0,1,0,0,0
17954124,0,1,0,0,0
17955165,0,1,0,0,0
17956115,0,1,0,0,0
17958516,0,1,0,0,0
17959250,0,1,0,0,0
17959254,0,1,0,0,0
17959257,0,1,0,0,0
17959895,0,1,0,0,0
17959922,0,1,0,0,0
17959924,0,1,0,0,0
17963583,0,1,0,0,0
17963593,0,1,0,0,0
17964110,0,1,0,0,0
